model_name,prompt_type,total_attempts,successful_attempts,failed_attempts,timeout_attempts,execution_time_mean,execution_time_median,execution_time_sd,prediction_accuracy,auc_roc,txt_accuracy,txt_auc_roc,total_duration_mean,total_duration_median,total_duration_sd,load_duration_mean,load_duration_median,load_duration_sd,prompt_eval_duration_mean,prompt_eval_duration_median,prompt_eval_duration_sd,eval_duration_mean,eval_duration_median,eval_duration_sd,prompt_eval_count_mean,prompt_eval_count_median,prompt_eval_count_sd,eval_count_mean,eval_count_median,eval_count_sd,true_positives,true_negatives,false_positives,false_negatives,precision,recall,f1_score,model_dir,model_params,model_quantization,total_duration_sec_missing_count,load_duration_sec_missing_count,prompt_eval_duration_sec_missing_count,eval_duration_sec_missing_count,python_api_duration_sec_missing_count,confidence_txt_missing_count,prompt_eval_count_missing_count,eval_count_missing_count
nemotron-mini:4b-instruct-fp16,PromptType.COT_NSHOT,100,100,0,0,1.7143757772445678,1.6038037538528442,0.4978106724225831,50.0,0.5182328190743338,50.0,0.5182,,,,,,,,,,,,,,,,,,,15,35,34,16,0.30612244897959184,0.4838709677419355,0.375,nemotron-mini_4b-instruct-fp16,4,fp16,1,1,1,1,1,1,1,1
nemotron-mini:4b-instruct-fp16,PromptType.COT,100,100,0,0,2.064220151901245,1.7796937227249146,1.224554187293947,44.0,0.4886928991406603,44.0,0.4887,,,,,,,,,,,,,,,,,,,22,22,45,11,0.3283582089552239,0.6666666666666666,0.44000000000000006,nemotron-mini_4b-instruct-fp16,4,fp16,1,1,1,1,1,1,1,1
olmo2:13b-1124-instruct-fp16,PromptType.SYSTEM1,100,100,0,0,0.6397667694091796,0.589942216873169,0.5700516313661274,69.0,0.5466768138001015,69.0,0.5467,,,,,,,,,,,,,,,,,,,8,61,12,19,0.4,0.2962962962962963,0.3404255319148936,olmo2_13b-1124-instruct-fp16,13,fp16,1,1,1,1,1,1,1,1
olmo2:13b-1124-instruct-fp16,PromptType.COT_NSHOT,100,100,0,0,13.430783717632293,13.324682831764221,1.6928276067847763,55.0,0.5029333333333333,55.0,0.5029,,,,,,,,,,,,,,,,,,,15,40,35,10,0.3,0.6,0.4,olmo2_13b-1124-instruct-fp16,13,fp16,1,1,1,1,1,1,1,1
olmo2:13b-1124-instruct-fp16,PromptType.COT,100,100,0,0,11.71138393163681,11.788079142570496,1.7446538675076262,56.0,0.5793650793650794,56.0,0.5794,,,,,,,,,,,,,,,,,,,19,37,35,9,0.35185185185185186,0.6785714285714286,0.4634146341463415,olmo2_13b-1124-instruct-fp16,13,fp16,1,1,1,1,1,1,1,1
olmo2:13b-1124-instruct-q4_K_M,PromptType.COT,100,100,0,0,4.682685232162475,4.682155609130859,0.6063088716950377,46.0,0.5282666666666667,46.0,0.5283,,,,,,,,,,,,,,,,,,,17,29,46,8,0.2698412698412698,0.68,0.3863636363636363,olmo2_13b-1124-instruct-q4_k_m,13,q4_k_m,1,1,1,1,1,1,1,1
olmo2:13b-1124-instruct-q4_K_M,PromptType.COT_NSHOT,100,100,0,0,6.045706934928894,5.904535293579102,0.6805826039119434,55.0,0.6170634920634921,55.0,0.6171,,,,,,,,,,,,,,,,,,,17,38,34,11,0.3333333333333333,0.6071428571428571,0.430379746835443,olmo2_13b-1124-instruct-q4_k_m,13,q4_k_m,1,1,1,1,1,1,1,1
olmo2:13b-1124-instruct-q4_K_M,PromptType.SYSTEM1,100,100,0,0,0.29442917346954345,0.2529144287109375,0.24767585832846312,70.0,0.4917763157894737,70.0,0.4918,,,,,,,,,,,,,,,,,,,9,61,15,15,0.375,0.375,0.375,olmo2_13b-1124-instruct-q4_k_m,13,q4_k_m,1,1,1,1,1,1,1,1
olmo2:7b-1124-instruct-fp16,PromptType.COT,100,100,0,0,7.359254291057587,7.206517934799194,1.7638836284041426,30.0,0.434191355026712,30.0,0.4342,,,,,,,,,,,,,,,,,,,29,1,70,0,0.29292929292929293,1.0,0.45312500000000006,olmo2_7b-1124-instruct-fp16,7,fp16,1,1,1,1,1,1,1,1
olmo2:7b-1124-instruct-fp16,PromptType.SYSTEM1,100,100,0,0,0.33419013261795044,0.29716789722442627,0.3439888299543643,61.0,0.4034373586612392,61.0,0.4034,,,,,,,,,,,,,,,,,,,14,47,20,19,0.4117647058823529,0.42424242424242425,0.41791044776119407,olmo2_7b-1124-instruct-fp16,7,fp16,1,1,1,1,1,1,1,1
