,sex,birthyear,height_ft,height_in,experience02,hhsize97,homelessness,faminjail,foodstamp,marijuana,cocaine,anydrug,numberofarrestsby2002,arrestedafter2002,convictedby2002,num_weight,birthmonth,race_ethnicity,race_specific,weight,married02,educ02,college02,parentrelations,urbanrural,victim,askgod,godhasnothingtodo,expectdeath,depression,race
114,1,1984,5,8,3,3,0,0,0,1,0,1,2,1,1,212.0,3,0,0,71,5,0,8,7,4,0,3,2,1,2,2
115,0,1980,5,6,2,3,0,0,0,1,1,1,1,0,0,162.0,2,3,5,31,5,4,1,7,4,0,2,2,4,2,5
116,1,1982,5,11,2,5,0,1,0,0,0,0,1,0,0,240.0,5,3,1,86,3,3,6,2,1,0,3,2,1,2,1
117,1,1982,5,11,1,4,0,0,0,1,0,1,1,0,1,160.0,10,0,2,40,5,0,8,7,4,0,3,2,1,3,2
118,1,1981,5,8,2,4,0,1,0,1,0,1,2,0,1,163.0,8,2,2,43,5,4,9,9,0,0,3,2,1,3,4
119,0,1983,5,7,3,5,0,0,0,1,1,1,2,0,1,130.0,4,3,5,14,4,4,9,2,1,0,2,3,1,2,5
120,1,1983,5,6,3,4,0,0,0,1,0,1,1,0,0,140.0,2,1,3,22,5,0,8,4,0,0,3,3,1,1,3
121,1,1983,5,9,1,5,0,0,0,0,1,1,1,1,1,212.0,1,1,3,71,5,0,3,9,4,0,2,3,1,2,3
122,1,1984,6,1,0,6,0,0,0,1,1,1,2,1,1,180.0,2,3,5,57,5,0,3,9,4,0,3,2,1,2,5
123,1,1982,6,1,1,4,0,0,0,0,0,0,2,0,0,180.0,6,3,5,57,5,4,9,9,4,0,3,2,1,2,5
124,1,1980,5,10,3,3,0,0,0,1,0,1,1,0,0,187.0,4,3,1,55,5,2,5,7,4,0,3,2,3,2,1
125,1,1981,5,7,2,3,0,0,0,1,1,1,5,0,1,212.0,6,3,5,71,5,0,8,2,1,0,2,3,1,2,5
126,0,1984,5,2,2,4,0,1,0,1,1,1,1,0,1,190.0,3,2,5,65,4,4,7,2,1,0,2,2,1,3,4
